Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Show Business	A Tribe Called Quest		The Low End Theory						Rap	9340470	233					1991	3/21/20, 2:42 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file		Created by Free CD Ripper !						Macintosh HD/Users/mck/Dropbox/Other Music/The Low End Theory/6 - A Tribe Called Quest - Show Business.mp3
Redbull	Wu-Tang Clan		The W						Rap	6885356	234			4		2000	3/21/20, 2:43 PM	3/21/20, 2:14 PM	234	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/The W/4 - Wu-Tang Clan - Redbull.mp3
The Way You Move (Feat. Sleepy Brown)	OutKast		Speakerboxxx, The Love Below (Disc 1)						Rap	6257731	234			5	19	2003	9/6/09, 11:58 AM	3/21/20, 2:14 PM	213	44100		MPEG audio file		ÜberStandard - UberNet.org						Macintosh HD/Users/mck/Dropbox/Other Music/Speakerboxxx, The Love Below (Disc 1)/05 - OutKast - The Way You Move (Feat. Sleepy Brown).mp3
Apollo Kids ft. Raekwon	Ghostface Killah		Supreme Clientele						Rap	5485221	234			6		2000	11/18/09, 12:27 PM	3/21/20, 2:14 PM	187	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Supreme Clientele/06 - Ghostface Killah - Apollo Kids ft. Raekwon.mp3
Untitled/Fantastic	Slum Village		Fantastic, Vol. 2						Rap	6722957	234			10		2000	3/21/20, 2:40 PM	3/21/20, 2:14 PM	229	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic, Vol. 2/10 - Slum Village - Untitled-Fantastic.mp3
Excursions	A Tribe Called Quest		The Low End Theory						Rap	9380176	234					1991	3/21/20, 2:42 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file		Created by Free CD Ripper !						Macintosh HD/Users/mck/Dropbox/Other Music/The Low End Theory/1 - A Tribe Called Quest - Excursions.mp3
something i can't show	Ulla		Tumbling Towards a Wall						Ambient	9440913	235			3		2020	3/21/20, 5:41 PM	3/21/20, 5:41 PM	320	44100		MPEG audio file		Visit http://ullastraus.bandcamp.com						Macintosh HD/Users/mck/Dropbox/Tracks/Ulla - Tumbling Towards a Wall/Ulla - Tumbling Towards a Wall - 03 something i can't show.mp3
Brenda's Got A Baby	2Pac		2Pacalypse Now						Rap	7310890	235			10		1991	3/21/20, 2:43 PM	3/21/20, 2:14 PM	248	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/2Pacalypse Now/10 - 2Pac - Brenda's Got A Baby.mp3
Hey Ya!	OutKast		Speakerboxx, The Love Below Disc 2						Rap	6651145	235			9	20	2003	9/6/09, 12:03 PM	3/21/20, 2:14 PM	226	44100		MPEG audio file		ÜberStandard - UberNet.org						Macintosh HD/Users/mck/Dropbox/Other Music/Speakerboxx, The Love Below Disc 2/09 - OutKast - Hey Ya!.mp3
Save The Day Feat. Sha Stimuli & Kel Spencer	Torae		Daily Conversation						Rap	9495331	235			10	15		3/21/20, 2:41 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Daily Conversation/10 - Torae - Save The Day Feat. Sha Stimuli & Kel Spencer.mp3
Hokori	Sumo		Ishiki EP						House	9593405	236			6		2019	3/21/20, 5:42 PM	3/21/20, 5:41 PM	320	44100		MPEG audio file		Visit http://sumosk.bandcamp.com						Macintosh HD/Users/mck/Dropbox/Tracks/Sumo - Ishiki EP/Sumo - Ishiki EP - 06 Hokori.mp3
soak	Ulla		Tumbling Towards a Wall						Ambient	9502562	236			4		2020	3/21/20, 5:41 PM	3/21/20, 5:41 PM	320	44100		MPEG audio file		Visit http://ullastraus.bandcamp.com						Macintosh HD/Users/mck/Dropbox/Tracks/Ulla - Tumbling Towards a Wall/Ulla - Tumbling Towards a Wall - 04 soak.mp3
Bowtie (Feat. Sleepy Brown & Jazze Pha)	OutKast		Speakerboxxx, The Love Below (Disc 1)						Rap	6859410	236			4	19	2003	9/6/09, 12:03 PM	3/21/20, 2:14 PM	231	44100		MPEG audio file		ÜberStandard - UberNet.org						Macintosh HD/Users/mck/Dropbox/Other Music/Speakerboxxx, The Love Below (Disc 1)/04 - OutKast - Bowtie (Feat. Sleepy Brown & Jazze Pha).mp3
Ghetto Musick	OutKast		Speakerboxxx, The Love Below (Disc 1)						Rap	6607942	236			2	19	2003	9/6/09, 12:01 PM	3/21/20, 2:14 PM	223	44100		MPEG audio file		ÜberStandard - UberNet.org						Macintosh HD/Users/mck/Dropbox/Other Music/Speakerboxxx, The Love Below (Disc 1)/02 - OutKast - Ghetto Musick.mp3
The World is Yours (Remix)	NaS		Illmatic (10th Anniversary Illmatic Platinum Series) (Disc 2)						Rap	9476484	236			2			6/9/07, 5:12 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Illmatic (10th Anniversary Illmatic Platinum Series) (Disc 2)/02 - NaS - The World is Yours (Remix).mp3
Can I Live II (feat. Memphis Bleek) - youngcapstar	Jay-Z		Reasonable Doubt						Rap	9533566	237			15		1996	3/21/20, 2:37 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Reasonable Doubt/15 Can I Live II (feat. Memphis Bleek) - youngcapstar.mp3
The Rooster	OutKast		Speakerboxxx, The Love Below (Disc 1)						Rap	6689627	237			6	19	2003	9/6/09, 12:01 PM	3/21/20, 2:14 PM	225	44100		MPEG audio file		ÜberStandard - UberNet.org						Macintosh HD/Users/mck/Dropbox/Other Music/Speakerboxxx, The Love Below (Disc 1)/06 - OutKast - The Rooster.mp3
Whateva Whateva	Roc Marciano		Marcberg						Rap	4159185	237			3	15	2010	3/21/20, 2:39 PM	3/21/20, 2:14 PM	140	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Marcberg/3 - Roc Marciano - Whateva Whateva.mp3
Last Call (Feat. Slimm Calhoun, Lil' Jon & Tha Eastside Boyz& Mello)	OutKast		Speakerboxxx, The Love Below (Disc 1)						Rap	5953547	237			18	19	2003	9/6/09, 12:02 PM	3/21/20, 2:14 PM	200	44100		MPEG audio file		ÜberStandard - UberNet.org						Macintosh HD/Users/mck/Dropbox/Other Music/Speakerboxxx, The Love Below (Disc 1)/18 - OutKast - Last Call (Feat. Slimm Calhoun, Lil' Jon & Tha Eastside Boyz& Mello).mp3
The What	The Notorious B.I.G.		Ready To Die						Rap	9509040	237			9		1994	3/21/20, 2:39 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Ready To Die/09 - The Notorious B.I.G. - The What.mp3
feeling remembering	Ulla		Tumbling Towards a Wall						Ambient	9548537	237			7		2020	3/21/20, 5:41 PM	3/21/20, 5:41 PM	320	44100		MPEG audio file		Visit http://ullastraus.bandcamp.com						Macintosh HD/Users/mck/Dropbox/Tracks/Ulla - Tumbling Towards a Wall/Ulla - Tumbling Towards a Wall - 07 feeling remembering.mp3
1,2	Slum Village		Slum Village						Rap	5709824	237			6		2005	3/20/07, 9:17 PM	3/21/20, 2:14 PM	192	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Slum Village/6 - Slum Village - 1,2.Mp3
Playa Hater	The Notorious B.I.G.		Life After Death [Disc 2]						Rap	9590945	238			6		1997	5/25/07, 11:03 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Life After Death [Disc 2]/06 - The Notorious B.I.G. - Playa Hater.mp3
Ya Dayz R #'d	NYGz		Welcome 2 G-Dom						Rap	4122313	238			2		2007	3/21/20, 2:39 PM	3/21/20, 2:14 PM	138	44100		MPEG audio file		-> C4 2 Ya DooR <-						Macintosh HD/Users/mck/Dropbox/Other Music/Welcome 2 G-Dom/2 - NYGz - Ya Dayz R #'d.mp3
Things Done Changed	The Notorious B.I.G.		Ready To Die						Rap	9538308	238			2		1994	3/21/20, 2:39 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Ready To Die/02 - The Notorious B.I.G. - Things Done Changed.mp3
Decatur Psalm	Outkast		ATLiens						Rap	9616505	238			11		1996	11/20/10, 10:42 AM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/ATLiens/11 - Outkast - Decatur Psalm.mp3
Hard Knock Life	Jay-Z		Vol.2...Hard Knock Life						Rap	9542280	238			2		1998	6/12/07, 5:06 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Vol.2...Hard Knock Life/2-14 - Jay-Z - Hard Knock Life.mp3
Protect Ya Neck (The Jump Off)	Wu-Tang Clan		The W						Rap	6364735	238			7		2000	3/21/20, 2:43 PM	3/21/20, 2:14 PM	212	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/The W/7 - Wu-Tang Clan - Protect Ya Neck (The Jump Off).mp3
Verses From The Abstract	A Tribe Called Quest		The Low End Theory						Rap	9557808	238					1991	3/21/20, 2:42 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file		Created by Free CD Ripper !						Macintosh HD/Users/mck/Dropbox/Other Music/The Low End Theory/5 - A Tribe Called Quest - Verses From The Abstract.mp3
Coming Of Age (feat. Memphis Bleek)	Jay-Z		Reasonable Doubt						Rap	9620278	239			11		1996	3/21/20, 2:37 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Reasonable Doubt/11 Coming Of Age (feat. Memphis Bleek).mp3
Do The Math	Torae	Large Pro	For The Record						Rap	7845579	240			7		2011	3/21/20, 2:41 PM	3/21/20, 2:14 PM	256	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/For The Record/07. Do The Math.mp3
Me & My Bitch	The Notorious B.I.G.		Ready To Die						Rap	9629209	240			12		1994	3/21/20, 2:39 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Ready To Die/12 - The Notorious B.I.G. - Me & My Bitch.mp3
It's Alright	Jay-Z		Vol.2...Hard Knock Life						Rap	9672890	241			13		1998	6/12/07, 5:11 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Vol.2...Hard Knock Life/13-14 - Jay-Z - It's Alright.mp3
Buck 50 ft. Cappadonna Method Man Masta Killah & Redman	Ghostface Killah		Supreme Clientele						Rap	6903294	242			8		2000	11/18/09, 12:27 PM	3/21/20, 2:14 PM	227	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Supreme Clientele/08 - Ghostface Killah - Buck 50 ft. Cappadonna Method Man Masta Killah & Redman.mp3
Flappin	Originoo Gunn Clappaz		Da Storm						Rap	9777927	242			15		1996	3/21/20, 2:39 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Da Storm/15 - Originoo Gunn Clappaz - Flappin.mp3
Wheelz Of Steel	Outkast		ATLiens						Rap	9812948	243			4		1996	11/20/10, 10:42 AM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/ATLiens/04 - Outkast - Wheelz Of Steel.mp3
Ain't No Nigga (feat. Foxy Brown)	Jay-Z		Reasonable Doubt						Rap	9799998	243			9		1996	3/21/20, 2:37 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Reasonable Doubt/09 Ain't No Nigga (feat. Foxy Brown).mp3
Ohh Machine	Buzzi		Double Dragon EP						Techno	9915902	243			5		2019	3/21/20, 3:21 PM	3/21/20, 3:20 PM	320	44100		MPEG audio file		Visit http://whirlwindtrax.bandcamp.com						Macintosh HD/Users/mck/Dropbox/Tracks/Xiorro & Buzzi - Double Dragon EP/Buzzi - Double Dragon EP - 05 Ohh Machine.mp3
Big Bang	Calibre		Overflow (Part 2)						Drum & Bass	6442991	244			5		2008	11/8/09, 9:23 PM	3/21/20, 2:14 PM	208	44100		MPEG audio file		Track 5						Macintosh HD/Users/mck/Dropbox/Other Music/Overflow (Part 2)/05 - Calibre - Big Bang.mp3
Blood Count	Stan Getz		Café Montmartre						Jazz	9794061	244			8	9	2002	6/29/06, 11:16 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file		Track 8						Macintosh HD/Users/mck/Dropbox/Other Music/Stan Getz/Café Montmartre/08 - Stan Getz - Blood Count.mp3
Snow	Roc Marciano		Marcberg						Rap	4721898	244			6	15	2010	3/21/20, 2:39 PM	3/21/20, 2:14 PM	154	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Marcberg/6 - Roc Marciano - Snow.mp3
Hurricane Starang	Originoo Gunn Clappaz		Da Storm						Rap	9864663	244			7		1996	3/21/20, 2:39 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Da Storm/07 - Originoo Gunn Clappaz - Hurricane Starang.mp3
Jealousy	Slum Village		Fantastic, Vol. 2						Rap	7407818	245			4		2000	3/21/20, 2:40 PM	3/21/20, 2:14 PM	241	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic, Vol. 2/4 - Slum Village - Jealousy.mp3
Ghost Deini ft. Superb	Ghostface Killah		Supreme Clientele						Rap	6031962	245			5		2000	11/18/09, 12:27 PM	3/21/20, 2:14 PM	196	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Supreme Clientele/05 - Ghostface Killah - Ghost Deini ft. Superb.mp3
That Raw	Torae	Pete Rock	For The Record						Rap	8045358	246			6		2011	3/21/20, 2:41 PM	3/21/20, 2:14 PM	256	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/For The Record/06. That Raw.mp3
She's Alive	OutKast		Speakerboxx, The Love Below Disc 2						Rap	6066354	246			15	20	2003	9/6/09, 12:03 PM	3/21/20, 2:14 PM	196	44100		MPEG audio file		ÜberStandard - UberNet.org						Macintosh HD/Users/mck/Dropbox/Other Music/Speakerboxx, The Love Below Disc 2/15 - OutKast - She's Alive.mp3
Gershon Beat	Avishai Cohen	Avishai Cohen	At Home						Jazz	5943342	247			6		2005	6/3/05, 11:12 PM	3/21/20, 2:14 PM	192	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/At Home/6 - Avishai Cohen - Gershon Beat.mp3
Its a Crime	Roc Marciano		Marcberg						Rap	6246070	248			2	15	2010	3/21/20, 2:39 PM	3/21/20, 2:14 PM	201	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Marcberg/2 - Roc Marciano - Its a Crime.mp3
Memory Lane (Sittin' In Da Park)	NaS		Illmatic (10th Anniversary Illmatic Platinum Series) (Disc 1)						Rap	9932066	248			6			6/9/07, 5:12 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Illmatic (10th Anniversary Illmatic Platinum Series) (Disc 1)/06 - NaS - Memory Lane (Sittin' In Da Park).mp3
No Fear	Originoo Gunn Clappaz		Da Storm						Rap	10017208	248			3		1996	3/21/20, 2:39 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Da Storm/03 - Originoo Gunn Clappaz - No Fear.mp3
Inner Frame	Avishai Cohen		Colors						Jazz	10003347	248			12		2000	9/27/10, 5:32 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Colors/12 - Avishai Cohen - Inner Frame.mp3
Star Wars	NaS		Illmatic (10th Anniversary Illmatic Platinum Series) (Disc 2)						Rap	9959210	248			6			6/9/07, 5:13 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Illmatic (10th Anniversary Illmatic Platinum Series) (Disc 2)/06 - NaS - Star Wars.mp3
Jazz (We've Got)	A Tribe Called Quest		The Low End Theory						Rap	9984127	249					1991	3/21/20, 2:42 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file		Created by Free CD Ripper !						Macintosh HD/Users/mck/Dropbox/Other Music/The Low End Theory/11 - A Tribe Called Quest - Jazz (We've Got).mp3
Da Storm	Originoo Gunn Clappaz		Da Storm						Rap	10053781	249			10		1996	3/21/20, 2:39 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Da Storm/10 - Originoo Gunn Clappaz - Da Storm.mp3
Be This Way	Ghostface Killah		The Pretty Toney Album						Rap	7324908	250			14		2004	3/21/20, 2:37 PM	3/21/20, 2:14 PM	234	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/The Pretty Toney Album/14 - Ghostface Killah - Be This Way.mp3
Can I Live	Jay-Z		Reasonable Doubt						Rap	10066424	250			8		1996	3/21/20, 2:37 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Reasonable Doubt/08 Can I Live.mp3
Sufferin' (feat. Rave & Fizzy Wo)	NYGz		Welcome 2 G-Dom						Rap	5339198	250			5		2007	3/21/20, 2:39 PM	3/21/20, 2:14 PM	170	44100		MPEG audio file		-> C4 2 Ya DooR <-						Macintosh HD/Users/mck/Dropbox/Other Music/Welcome 2 G-Dom/5 - NYGz - Sufferin' (feat. Rave & Fizzy Wo).mp3
It's Over	Ghostface Killah		The Pretty Toney Album						Rap	7506243	250			8		2004	3/21/20, 2:37 PM	3/21/20, 2:14 PM	239	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/The Pretty Toney Album/08 - Ghostface Killah - It's Over.mp3
Scenario	A Tribe Called Quest		The Low End Theory						Rap	10043686	251					1991	3/21/20, 2:42 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file		Created by Free CD Ripper !						Macintosh HD/Users/mck/Dropbox/Other Music/The Low End Theory/14 - A Tribe Called Quest - Scenario.mp3
Shoutro	Roc Marciano		Marcberg						Rap	3876390	251			15	15	2010	3/21/20, 2:39 PM	3/21/20, 2:14 PM	123	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Marcberg/15 - Roc Marciano - Shoutro.mp3
One Blood Under W	Wu-Tang Clan		The W						Rap	6449260	251			5		2000	3/21/20, 2:43 PM	3/21/20, 2:14 PM	204	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/The W/5 - Wu-Tang Clan - One Blood Under W.mp3
Jazzy Belle	Outkast		ATLiens						Rap	10149401	251			5		1996	11/20/10, 10:42 AM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/ATLiens/05 - Outkast - Jazzy Belle.mp3
Represent	NaS		Illmatic (10th Anniversary Illmatic Platinum Series) (Disc 1)						Rap	10106541	252			9			3/21/20, 12:28 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Illmatic (10th Anniversary Illmatic Platinum Series) (Disc 1)/09 - NaS - Represent.mp3
Strength	NYGz		Welcome 2 G-Dom						Rap	4811264	252			16		2007	3/21/20, 2:39 PM	3/21/20, 2:14 PM	152	44100		MPEG audio file		-> C4 2 Ya DooR <-						Macintosh HD/Users/mck/Dropbox/Other Music/Welcome 2 G-Dom/16 - NYGz - Strength.mp3
End Of The Line	ASC		The Astral Traveller						Drum & Bass	10202560	252			10		2009	3/21/20, 3:01 PM	3/21/20, 2:47 PM	320	44100		MPEG audio file		Visit http://asc77.bandcamp.com						Macintosh HD/Users/mck/Dropbox/Tracks/ASC - The Astral Traveller/ASC - The Astral Traveller - 10 End Of The Line.mp3
Big Poppa	The Notorious B.I.G.		Ready To Die						Rap	10124486	252			13		1994	3/21/20, 2:39 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Ready To Die/13 - The Notorious B.I.G. - Big Poppa.mp3
Shine	Calibre		Overflow (Part 2)						Drum & Bass	5262602	253			2		2008	11/8/09, 9:22 PM	3/21/20, 2:14 PM	164	44100		MPEG audio file		Track 2						Macintosh HD/Users/mck/Dropbox/Other Music/Overflow (Part 2)/02 - Calibre - Shine.mp3
Money Ain't A Thang	Jay-Z		Vol.2...Hard Knock Life						Rap	10133697	253			14		1998	6/12/07, 5:11 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Vol.2...Hard Knock Life/14-14 - Jay-Z - Money Ain't A Thang.mp3
Reach You Everywhere	Calibre		Overflow (Part 2)						Drum & Bass	4972261	253			8		2008	11/8/09, 9:22 PM	3/21/20, 2:14 PM	154	44100		MPEG audio file		Track 8						Macintosh HD/Users/mck/Dropbox/Other Music/Overflow (Part 2)/08 - Calibre - Reach You Everywhere.mp3
Another (ft. Lil' Kim)	The Notorious B.I.G.		Life After Death [Disc 2]						Rap	10283723	255			3		1997	5/25/07, 11:12 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Life After Death [Disc 2]/03 - The Notorious B.I.G. - Another (ft. Lil' Kim).mp3
Malcolm	Ghostface Killah		Supreme Clientele						Rap	6391676	255			15		2000	11/18/09, 12:27 PM	3/21/20, 2:14 PM	200	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Supreme Clientele/15 - Ghostface Killah - Malcolm.mp3
You Ready	Torae	Marco Polo	For The Record						Rap	8360503	256			3		2011	3/21/20, 2:41 PM	3/21/20, 2:14 PM	256	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/For The Record/03. You Ready.mp3
Badman (Original Mix)	Perc, Truss		Leather & Lace		Perc Trax				Techno	10335505	257			3		2016	6/6/19, 7:21 PM	3/21/20, 3:19 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Tracks/7888114_Badman_Original_Mix.mp3
The Look Of Love	Slum Village		Fantastic Vol. 1						Rap	7973497	257			6		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	247	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/06 - Slum Village - The Look Of Love.mp3
Machine Gun Funk	The Notorious B.I.G.		Ready To Die						Rap	10308395	257			4		1994	3/21/20, 2:39 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Ready To Die/04 - The Notorious B.I.G. - Machine Gun Funk.mp3
Mo Money Mo Problems	The Notorious B.I.G.		Life After Death [Disc 1]						Rap	10369403	257			10		1997	5/25/07, 11:11 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Life After Death [Disc 1]/10 - The Notorious B.I.G. - Mo Money Mo Problems.mp3
Crooked Ass Nigga	2Pac		2Pacalypse Now						Rap	6901277	257			8		1991	3/21/20, 2:43 PM	3/21/20, 2:14 PM	214	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/2Pacalypse Now/8 - 2Pac - Crooked Ass Nigga.mp3
If My Homie Calls	2Pac		2Pacalypse Now						Rap	7622595	258			9		1991	3/21/20, 2:43 PM	3/21/20, 2:14 PM	235	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/2Pacalypse Now/9 - 2Pac - If My Homie Calls.mp3
Last Day (ft. The LOX)	The Notorious B.I.G.		Life After Death [Disc 1]						Rap	10412246	258			6		1997	5/25/07, 11:07 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Life After Death [Disc 1]/06 - The Notorious B.I.G. - Last Day (ft. The LOX).mp3
Vibes And Stuff	A Tribe Called Quest		The Low End Theory						Rap	10347751	258					1991	3/21/20, 2:42 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file		Created by Free CD Ripper !						Macintosh HD/Users/mck/Dropbox/Other Music/The Low End Theory/7 - A Tribe Called Quest - Vibes And Stuff.mp3
Mediterranean Sun	Avishai Cohen	Avishai Cohen	At Home						Jazz	6208140	258			9		2005	6/3/05, 11:12 PM	3/21/20, 2:14 PM	192	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/At Home/9 - Avishai Cohen - Mediterranean Sun.mp3
I Don't Give A Fuck	2Pac		2Pacalypse Now						Rap	7329201	260			4		1991	3/21/20, 2:43 PM	3/21/20, 2:14 PM	225	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/2Pacalypse Now/4 - 2Pac - I Don't Give A Fuck.mp3
Halftime	NaS		Illmatic (10th Anniversary Illmatic Platinum Series) (Disc 1)						Rap	10435683	260			5			6/9/07, 5:12 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Illmatic (10th Anniversary Illmatic Platinum Series) (Disc 1)/05 - NaS - Halftime.mp3
Coming Of Age	Jay-Z		Vol.2...Hard Knock Life						Rap	10454474	261			8		1998	6/12/07, 5:09 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Vol.2...Hard Knock Life/8-14 - Jay-Z - Coming Of Age.mp3
Welcome 2 G-Dom (feat. Rave)	NYGz		Welcome 2 G-Dom						Rap	4414610	261			8		2007	3/21/20, 2:39 PM	3/21/20, 2:14 PM	134	44100		MPEG audio file		-> C4 2 Ya DooR <-						Macintosh HD/Users/mck/Dropbox/Other Music/Welcome 2 G-Dom/8 - NYGz - Welcome 2 G-Dom (feat. Rave).mp3
Giantz Ta Thiz	NYGz		Welcome 2 G-Dom						Rap	4886768	262			10		2007	3/21/20, 2:39 PM	3/21/20, 2:14 PM	148	44100		MPEG audio file		-> C4 2 Ya DooR <-						Macintosh HD/Users/mck/Dropbox/Other Music/Welcome 2 G-Dom/10 - NYGz - Giantz Ta Thiz.mp3
Eyes Up	Slum Village		Fantastic, Vol. 2						Rap	7403410	262			16		2000	3/21/20, 2:40 PM	3/21/20, 2:14 PM	224	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic, Vol. 2/16 - Slum Village - Eyes Up.mp3
DA3	Shasta Cults		Shasta Cults						Ambient	10578493	263			4		2019	3/21/20, 11:28 AM	3/21/20, 2:45 PM	320	44100		MPEG audio file		Visit http://shastacults.bandcamp.com						Macintosh HD/Users/mck/Dropbox/Tracks/Shasta Cults - Shasta Cults/Shasta Cults - Shasta Cults - 04 DA3.mp3
Wu Banga 101	Ghostface Killah		Supreme Clientele						Rap	6305112	263			19		2000	11/18/09, 12:27 PM	3/21/20, 2:14 PM	191	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Supreme Clientele/19 - Ghostface Killah - Wu Banga 101.mp3
3 Man Weave (feat. Reef, Hustle & Mic Ock)	NYGz		Welcome 2 G-Dom						Rap	5134970	263			3		2007	3/21/20, 2:39 PM	3/21/20, 2:14 PM	155	44100		MPEG audio file		-> C4 2 Ya DooR <-						Macintosh HD/Users/mck/Dropbox/Other Music/Welcome 2 G-Dom/3 - NYGz - 3 Man Weave (feat. Reef, Hustle & Mic Ock).mp3
