Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Sky Pager	A Tribe Called Quest		The Low End Theory						Rap	5320747	132					1991	3/21/20, 2:42 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file		Created by Free CD Ripper !						Macintosh HD/Users/mck/Dropbox/Other Music/The Low End Theory/12 - A Tribe Called Quest - Sky Pager.mp3
Rap Promoter	A Tribe Called Quest		The Low End Theory						Rap	5335376	133					1991	3/21/20, 2:42 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file		Created by Free CD Ripper !						Macintosh HD/Users/mck/Dropbox/Other Music/The Low End Theory/3 - A Tribe Called Quest - Rap Promoter.mp3
De Ye Tan Di	Avishai Cohen		Colors						Jazz	5415201	134			6		2000	9/27/10, 5:30 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Colors/06 - Avishai Cohen - De Ye Tan Di.mp3
Beej-N-Dem (feat. Beej)	Slum Village		Fantastic Vol. 1						Rap	3905425	136			9		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	228	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/09 - Slum Village - Beej-N-Dem (feat. Beej).mp3
Get 'Em Ft. Dog From ACD (Produced By Sid Roams)	Big Twins		The Project Kid						Rap	3216730	141			5	17	2009	8/20/09, 12:11 AM	3/21/20, 2:14 PM	182	44100		MPEG audio file		Enjoy & Go Support The Artist.......pz1						Macintosh HD/Users/mck/Dropbox/Other Music/The Project Kid/5 - Big Twins - Get 'Em Ft. Dog From ACD (Produced By Sid Roams).mp3
Broken Dreams (feat. Imani Montana & Versatile)	NYGz		Welcome 2 G-Dom						Rap	2516333	144			12		2007	3/21/20, 2:39 PM	3/21/20, 2:14 PM	138	44100		MPEG audio file		-> C4 2 Ya DooR <-						Macintosh HD/Users/mck/Dropbox/Other Music/Welcome 2 G-Dom/12 - NYGz - Broken Dreams (feat. Imani Montana & Versatile).mp3
I Don't Know	Slum Village		Fantastic, Vol. 2						Rap	4031993	145			3		2000	3/21/20, 2:40 PM	3/21/20, 2:14 PM	220	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic, Vol. 2/3 - Slum Village - I Don't Know.mp3
Smart Niggaz Ft. Krondon (Produced By The Alchemist)	Big Twins		The Project Kid						Rap	3347014	146			3	17	2009	8/20/09, 12:11 AM	3/21/20, 2:14 PM	182	44100		MPEG audio file		Enjoy & Go Support The Artist.......pz1	1	3/21/20, 2:39 PM				Macintosh HD/Users/mck/Dropbox/Other Music/The Project Kid/3 - Big Twins - Smart Niggaz Ft. Krondon (Produced By The Alchemist).mp3
Players	Slum Village		Fantastic, Vol. 2						Rap	4114082	146			15		2000	3/21/20, 2:40 PM	3/21/20, 2:14 PM	223	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic, Vol. 2/15 - Slum Village - Players.mp3
Beat Pharmacy feat Mutabaruka - Wata (Deep dub)	King Britt		Deep and Sexy 4						House	4520411	147			10		2007	3/21/20, 2:38 PM	3/21/20, 2:14 PM	244	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Deep and Sexy 4/10 - King Britt - Beat Pharmacy feat Mutabaruka - Wata (Deep dub).mp3
What_	A Tribe Called Quest		The Low End Theory						Rap	5944551	148					1991	3/21/20, 2:42 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file		Created by Free CD Ripper !						Macintosh HD/Users/mck/Dropbox/Other Music/The Low End Theory/13 - A Tribe Called Quest - What_.mp3
Something Wicked...	2Pac		2Pacalypse Now						Rap	4448522	148			7		1991	3/21/20, 2:43 PM	3/21/20, 2:14 PM	238	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/2Pacalypse Now/7 - 2Pac - Something Wicked....mp3
Lush Life	Stan Getz		Captain Marvel						Jazz	6032553	149			5		1972	3/21/20, 2:41 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Stan Getz/Captain Marvel/5 - Stan Getz - Lush Life.mp3
Dracula's Wedding (feat. Kelis)	OutKast		Speakerboxx, The Love Below Disc 2						Rap	4069353	152			16	20	2003	9/6/09, 12:02 PM	3/21/20, 2:14 PM	212	44100		MPEG audio file		ÜberStandard - UberNet.org						Macintosh HD/Users/mck/Dropbox/Other Music/Speakerboxx, The Love Below Disc 2/16 - OutKast - Dracula's Wedding (feat. Kelis).mp3
The Grain ft. The RZA	Ghostface Killah		Supreme Clientele						Rap	3526163	154			7		2000	11/18/09, 12:27 PM	3/21/20, 2:14 PM	182	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Supreme Clientele/07 - Ghostface Killah - The Grain ft. The RZA.mp3
Young Black Male	2Pac		2Pacalypse Now						Rap	3830116	155			1		1991	3/21/20, 2:43 PM	3/21/20, 2:14 PM	196	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/2Pacalypse Now/1 - 2Pac - Young Black Male.mp3
Take Off Your Cool (feat. Norah Jones)	OutKast		Speakerboxx, The Love Below Disc 2						Rap	3075729	158			18	20	2003	9/6/09, 12:02 PM	3/21/20, 2:14 PM	155	44100		MPEG audio file		ÜberStandard - UberNet.org						Macintosh HD/Users/mck/Dropbox/Other Music/Speakerboxx, The Love Below Disc 2/18 - OutKast - Take Off Your Cool (feat. Norah Jones).mp3
Ghostface	Ghostface Killah		The Pretty Toney Album						Rap	4435174	158			13		2004	3/21/20, 2:37 PM	3/21/20, 2:14 PM	223	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/The Pretty Toney Album/13 - Ghostface Killah - Ghostface.mp3
The Monument	Wu-Tang Clan		The W						Rap	3872374	158			11		2000	3/21/20, 2:43 PM	3/21/20, 2:14 PM	193	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/The W/11 - Wu-Tang Clan - The Monument.mp3
Trip Thru The PJ's (Produced By Sid Roams)	Big Twins		The Project Kid						Rap	4294548	159			7	17	2009	8/20/09, 12:11 AM	3/21/20, 2:14 PM	215	44100		MPEG audio file		Enjoy & Go Support The Artist.......pz1						Macintosh HD/Users/mck/Dropbox/Other Music/The Project Kid/7 - Big Twins - Trip Thru The PJ's (Produced By Sid Roams).mp3
Two Dope Boyz (In A Cadillac)	Outkast		ATLiens						Rap	6562285	162			2		1996	11/20/10, 10:42 AM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/ATLiens/02 - Outkast - Two Dope Boyz (In A Cadillac).mp3
Fat Cat (Remix) (feat. Phat Kat)	Slum Village		Fantastic Vol. 1						Rap	4247445	163			21		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	207	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/21 - Slum Village - Fat Cat (Remix) (feat. Phat Kat).mp3
War	OutKast		Speakerboxxx, The Love Below (Disc 1)						Rap	4088791	163			8	19	2003	9/6/09, 12:01 PM	3/21/20, 2:14 PM	199	44100		MPEG audio file		ÜberStandard - UberNet.org						Macintosh HD/Users/mck/Dropbox/Other Music/Speakerboxxx, The Love Below (Disc 1)/08 - OutKast - War.mp3
Gex	Kornél Kovács		The Bells						House	6657534	164			4		2017	3/21/20, 5:42 PM	3/21/20, 5:41 PM	320	44100		MPEG audio file		Visit http://studiobarnhus.bandcamp.com						Macintosh HD/Users/mck/Dropbox/Tracks/Kornél Kovács - The Bells/Kornél Kovács - The Bells - 04 Gex.mp3
Who Would You Ghost	Ghostface Killah		Supreme Clientele						Rap	3269560	164			16		2000	11/18/09, 12:27 PM	3/21/20, 2:14 PM	158	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Supreme Clientele/16 - Ghostface Killah - Who Would You Ghost.mp3
Emotions	Avishai Cohen		Colors						Jazz	6733858	167			3		2000	9/27/10, 5:32 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Colors/03 - Avishai Cohen - Emotions.mp3
Switch	Torae		Daily Conversation						Rap	6757659	167			8	15		3/21/20, 2:41 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Daily Conversation/8 - Torae - Switch.mp3
The Look Of Love (Remix)	Slum Village		Fantastic Vol. 1						Rap	4192630	167			18		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	200	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/18 - Slum Village - The Look Of Love (Remix).mp3
Rouge	The Roy Hargrove Quintet		Earfood						Jazz	6790059	168			7		2008	11/13/10, 12:56 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Earfood/07 - The Roy Hargrove Quintet - Rouge.mp3
Beat The Clock	Ghostface Killah		The Pretty Toney Album						Rap	4979348	169			4		2004	3/21/20, 2:37 PM	3/21/20, 2:14 PM	234	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/The Pretty Toney Album/04 - Ghostface Killah - Beat The Clock.mp3
Love Hater	OutKast		Speakerboxx, The Love Below Disc 2						Rap	4593831	169			2	20	2003	9/6/09, 12:03 PM	3/21/20, 2:14 PM	216	44100		MPEG audio file		ÜberStandard - UberNet.org						Macintosh HD/Users/mck/Dropbox/Other Music/Speakerboxx, The Love Below Disc 2/02 - OutKast - Love Hater.mp3
Set It	Slum Village		Slum Village						Rap	4077696	169			2		2005	3/20/07, 9:17 PM	3/21/20, 2:14 PM	192	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Slum Village/2 - Slum Village - Set It.Mp3
Raps 4 U (feat. Boy Bucka & Harlem Fatz)	NYGz		Welcome 2 G-Dom						Rap	3686070	171			13		2007	3/21/20, 2:39 PM	3/21/20, 2:14 PM	172	44100		MPEG audio file		-> C4 2 Ya DooR <-						Macintosh HD/Users/mck/Dropbox/Other Music/Welcome 2 G-Dom/13 - NYGz - Raps 4 U (feat. Boy Bucka & Harlem Fatz).mp3
Suicidal Thoughts	The Notorious B.I.G.		Ready To Die						Rap	6956364	173			17		1994	3/21/20, 2:39 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Ready To Die/17 - The Notorious B.I.G. - Suicidal Thoughts.mp3
The Infamous Date Rape	A Tribe Called Quest		The Low End Theory						Rap	6948698	173					1991	3/21/20, 2:42 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file		Created by Free CD Ripper !						Macintosh HD/Users/mck/Dropbox/Other Music/The Low End Theory/8 - A Tribe Called Quest - The Infamous Date Rape.mp3
Fat Cat Song (feat. Phat Kat)	Slum Village		Fantastic Vol. 1						Rap	4797104	173			5		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	220	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/05 - Slum Village - Fat Cat Song (feat. Phat Kat).mp3
Players	Slum Village		Fantastic Vol. 1						Rap	4961290	176			17		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	224	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/17 - Slum Village - Players.mp3
Cashmere Thoughts	Jay-Z		Reasonable Doubt						Rap	7114595	176			12		1996	3/21/20, 2:37 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Reasonable Doubt/12 Cashmere Thoughts.mp3
Everything Is Fair	A Tribe Called Quest		The Low End Theory						Rap	7137825	178					1991	3/21/20, 2:42 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file		Created by Free CD Ripper !						Macintosh HD/Users/mck/Dropbox/Other Music/The Low End Theory/10 - A Tribe Called Quest - Everything Is Fair.mp3
Think About It Feat. Teflon	Torae		Daily Conversation						Rap	7240423	179			7	15		3/21/20, 2:41 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Daily Conversation/7 - Torae - Think About It Feat. Teflon.mp3
This Beat (Remix)	Slum Village		Fantastic Vol. 1						Rap	4894326	180			14		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	217	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/14 - Slum Village - This Beat (Remix).mp3
5 Ela (Remix) (feat. 5 Elementz & Frank)	Slum Village		Fantastic Vol. 1						Rap	5980834	180			15		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	264	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/15 - Slum Village - 5 Ela (Remix) (feat. 5 Elementz & Frank).mp3
Life's a Bitch (Remix)	NaS		Illmatic (10th Anniversary Illmatic Platinum Series) (Disc 2)						Rap	7232040	180			1			6/9/07, 5:12 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Illmatic (10th Anniversary Illmatic Platinum Series) (Disc 2)/01 - NaS - Life's a Bitch (Remix).mp3
Bring It On Home To Me	The Roy Hargrove Quintet		Earfood						Jazz	7286402	180			13		2008	11/13/10, 12:55 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Earfood/13 - The Roy Hargrove Quintet - Bring It On Home To Me.mp3
Imagine	Torae	Eric G.	For The Record						Rap	5958063	181			10		2011	3/21/20, 2:41 PM	3/21/20, 2:14 PM	256	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/For The Record/10. Imagine.mp3
Lascivious - She's here (Brennan Green remix)	King Britt		Deep and Sexy 4						House	5648331	181			11		2007	3/21/20, 2:38 PM	3/21/20, 2:14 PM	248	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Deep and Sexy 4/11 - King Britt - Lascivious - She's here (Brennan Green remix).mp3
Thugs Prayer	Roc Marciano		Marcberg						Rap	3166497	181			9	15	2010	3/21/20, 2:39 PM	3/21/20, 2:14 PM	139	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Marcberg/9 - Roc Marciano - Thugs Prayer.mp3
Da Ni**uz Is Comin' Feat. Tash Of The Liks	Torae		Daily Conversation						Rap	7389859	182			11	15		3/21/20, 2:41 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Daily Conversation/11 - Torae - Da Ni--uz Is Comin' Feat. Tash Of The Liks.mp3
